Reference Area,Time Period,Sex,Age group,Units of measurement,Observation Value
Cambodia,2011,All genders,Not applicable,Number,32177
Cambodia,2008,All genders,Not applicable,Number,16708
Cambodia,2008,Female,Not applicable,Number,4590
Cambodia,2007,Female,Not applicable,Number,4840
Cambodia,2007,All genders,Not applicable,Number,16187
Cambodia,2004,All genders,Not applicable,Number,8922
Cambodia,2004,Female,Not applicable,Number,2556
Cambodia,2002,Female,Not applicable,Number,778
Cambodia,2002,All genders,Not applicable,Number,3105
Cambodia,2001,Female,Not applicable,Number,796
Cambodia,2001,All genders,Not applicable,Number,2905
Cambodia,2000,All genders,Not applicable,Number,2567
Cambodia,2000,Female,Not applicable,Number,549
Cambodia,1999,Female,Not applicable,Number,354
Cambodia,1999,All genders,Not applicable,Number,2152
Cameroon,2011,All genders,Not applicable,Number,36310
Cameroon,2010,All genders,Not applicable,Number,40327
Cameroon,2008,All genders,Not applicable,Number,33991
Cameroon,2006,All genders,Not applicable,Number,27838
Canada,2002,All genders,Not applicable,Number,246589
Canada,2002,Female,Not applicable,Number,143944
Canada,1999,Female,Not applicable,Number,129210
Canada,1999,All genders,Not applicable,Number,225050
Cayman Islands,2008,All genders,Not applicable,Number,224
Cayman Islands,2008,Female,Not applicable,Number,138
Cayman Islands,2007,Female,Not applicable,Number,95
Cayman Islands,2007,All genders,Not applicable,Number,190
Cayman Islands,2006,All genders,Not applicable,Number,70
Cayman Islands,2006,Female,Not applicable,Number,56
Central African Republic,2012,All genders,Not applicable,Number,615
Central African Republic,2012,Female,Not applicable,Number,81
Chad,2000,Female,Not applicable,Number,91
Chad,2000,All genders,Not applicable,Number,715
Chile,2014,All genders,Not applicable,Number,191141
Chile,2014,Female,Not applicable,Number,106412.000001
Chile,2012,Female,Not applicable,Number,82692
Chile,2012,All genders,Not applicable,Number,147549
Chile,2010,All genders,Not applicable,Number,120694
Chile,2010,Female,Not applicable,Number,66565
Chile,2009,Female,Not applicable,Number,67104
Chile,2009,All genders,Not applicable,Number,121915
